class,file_name,image_id,n_annotations,split
PE,PE 1000-1.png,4076115717,8,test
PE,PE 1000X 2.png,1311638269,33,train
PE,PE 1000X 3.png,1934502733,49,train
PE,PE 1000X.png,1795856293,20,test
PE,PE 2000X.png,1384622944,2,val
PE,PE 2000X2.png,93112996,5,train
PE,PE 3000X 3.png,723686028,20,train
PE,PE 3000X.png,1174191907,14,val
PE,PE 3000X2.png,3931021722,19,val
PE,PE 500-1.png,495764176,13,train
PE,PE 500-2.png,1512880128,10,train
PE,PE 500-3.png,1733071280,10,train
PE,PE-10000X.png,302702203,0,train
PE,PE-1000x.png,1597322001,114,train
PE,PE-2-3000X.png,3400744058,36,train
PE,PE-2000X-2.png,4127028940,10,train
PE,PE-2000X-3.png,3365756796,16,train
PE,PE-2000X.png,2809733328,16,train
PE,PE-3000X.png,2952934547,11,train
PE,PE-5000x-1.png,1423646723,12,train
PE,PE-5000x.png,47800861,0,test
PE,PEL 200X.png,1498358292,61,train
PE,PEL 500X.png,1401563917,67,train
PE,PELFT 2000X.png,1551508185,28,train
PE,PELFT 500X.png,3763266542,40,val
PET,PET 5000X 1.png,3267259189,141,test
PET,PET 5000X 2.png,2233340389,106,train
PET,PET 5000X.png,362683796,76,train
PET,PET-10000X.png,1245833905,31,train
PET,PET-2-3000X.png,2975489248,423,train
PET,PET-2000X-2.png,2383681110,478,test
PET,PET-2000X-3.png,3010740198,485,train
PET,PET-2000X-4.png,22340598,432,train
PET,PET-2000X.png,2214722541,491,test
PET,PET-5000X-2.png,2804876245,81,train
PET,PET-5000X-3.tif,2768250088,95,val
PET,PET-5000X-4.png,678426229,102,train
PET,PET-5000X.png,3764426276,105,train
PET,PET1-5000X.png,2577963156,194,val
PET,PETL 1000X.png,67919324,51,train
PET,PETL 200X.png,2050488617,642,train
PET,PETL 5000X.png,1507855568,14,train
PET,PET-B-1000X.png,3635876509,75,train
PET,PET-B-2-5000X.png,2907389175,90,test
PET,PET-B-2000x-2.png,782382679,121,train
PET,PET-B-2000x-4.png,2715993079,113,train
PET,PET-B-5000X.png,2237350801,3,train
PET,PET-B-5000x-1.png,1077500164,36,val
PET,PET-B2-2000x-1.png,913254211,226,train
PET,PET-B2-2000x-2.png,1909415315,143,train
PET,PET-B2-2000x-4.png,4270827571,156,val
PET,PET-B2-5000x-4.png,3618946480,29,train
PP,PP 100X.png,2206346416,403,train
PP,PP 100X2.png,2207129079,300,train
PP,PP 2000X.png,2368127977,81,val
PP,PP 2000X2.png,2436321352,95,train
PP,PP 500-1.png,3257772633,10,train
PP,PP 5000X.png,3913788960,10,train
PP,PP 500X.png,130556490,229,val
PP,PP 500X2.png,3730984187,113,train
PP,PP-10000X.png,2259764375,16,train
PP,PP-1000x1.png,4053326250,1017,test
PP,PP-1000x2.png,3057165178,939,train
PP,PP-1000x3.png,2337835722,1045,val
PP,PP-2-3000X.png,1671113139,215,train
PP,PP-3000X.png,1872976922,330,train
PP,PP-3000x1.png,4117563799,332,train
PP,PP-3000x2.png,2999808839,217,train
PP,PP-3000x3.png,2410502903,223,train
PP,PP-3000x4.png,1032685287,198,test
PP,PP-3000x5.png,15576919,247,val
PP,PP-3000x6.png,1196283271,231,test
PP,PP-3000x7.png,2049834039,233,test
PP,PP-3000x8.png,4168969190,231,train
PP,PP-5000X.png,481895824,80,train
PP,PPFT 2000X.png,1623138877,50,train
PP,PPFT 200X.png,745529299,363,train
PP,PPFT 500X.png,648730314,211,train
PP,PPLFT 200X.png,1134821182,336,train
PP,PPLFT 500X.png,1231484455,201,train
PS,PS 2000X.png,348431848,591,train
PS,PS 5000X.png,1889912865,170,train
PS,PS 500X 2.png,1532826863,211,train
PS,PS 500X.png,3976173897,837,train
PS,PS 500X2.png,1199581946,938,train
PS,PS-100x.png,1480286176,616,test
PS,PS-200X.png,393574151,885,train
PS,PS-200x-2.png,20342995,159,test
PS,PS-200x-3.png,1012285795,97,val
PS,PS-200x-4.png,2390138227,555,train
PS,PS2  2000X.png,3032667401,426,train
PS,PS2  5000X.png,3500390592,227,train
PS,PS2-2000x-3.png,1286566947,115,val
PS,PS2-200x-1.png,779476538,266,train
PS,PS2-200x2.png,4023126119,145,test
PS,PSFT 2000X.png,3715452659,294,train
PS,PSFT 200X.png,1542524195,960,train
PS,PSL 10000X.png,2669888947,137,test
PS,PSL 200X.png,520891548,818,train
PS,PSL 5000X.png,3800985606,255,train
PS,PSLFT 2000X.png,3255457027,353,val
PS,PSLFT 200X.png,4268332016,1098,train
