image_path,label,split,source_image
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_312.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_278.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_407.png,PE,train,PE-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-2_192.png,PE,train,PE 500-2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_372.png,PE,train,PE-2000X-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_124.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_530.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_247.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_264.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_303.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_449.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_539.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_125.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_211.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_463.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_41.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_17.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-2_185.png,PE,train,PE 500-2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_467.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_228.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_436.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_554.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_459.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_55.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_291.png,PE,train,PE-1000x.png
