image_path,label,split,source_image,ann_id,magnification,bbox_w,bbox_h,px_size,um_per_px,size_nm,polymer_label
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_312.png,NANOPLASTIC,train,PE-1000x.png,312,1000,6,4,6,0.1,600.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_278.png,MICROPLASTIC,train,PE-1000x.png,278,1000,11,7,11,0.1,1100.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_407.png,NANOPLASTIC,train,PE-3000X.png,407,3000,29,20,29,0.03333333333333333,966.6666666666666,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-2_192.png,MICROPLASTIC,train,PE 500-2.png,192,500,7,8,8,0.2,1600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_372.png,MICROPLASTIC,train,PE-2000X-3.png,372,2000,25,25,25,0.05,1250.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_124.png,MICROPLASTIC,train,PE 3000X 3.png,124,3000,34,20,34,0.03333333333333333,1133.3333333333333,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_530.png,MICROPLASTIC,train,PEL 500X.png,530,500,18,12,18,0.2,3600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_247.png,MICROPLASTIC,train,PE-1000x.png,247,1000,16,5,16,0.1,1600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_264.png,NANOPLASTIC,train,PE-1000x.png,264,1000,7,7,7,0.1,700.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_303.png,MICROPLASTIC,train,PE-1000x.png,303,1000,11,9,11,0.1,1100.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_449.png,MICROPLASTIC,train,PEL 200X.png,449,200,11,10,11,0.5,5500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_539.png,MICROPLASTIC,train,PEL 500X.png,539,500,17,13,17,0.2,3400.0000000000005,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_125.png,NANOPLASTIC,train,PE 3000X 3.png,125,3000,22,20,22,0.03333333333333333,733.3333333333333,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_211.png,NANOPLASTIC,train,PE-1000x.png,211,1000,5,7,7,0.1,700.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_463.png,MICROPLASTIC,train,PEL 200X.png,463,200,8,9,9,0.5,4500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_41.png,MICROPLASTIC,train,PE 1000X 2.png,41,1000,10,8,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_17.png,MICROPLASTIC,train,PE 1000X 2.png,17,1000,9,11,11,0.1,1100.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-2_185.png,MICROPLASTIC,train,PE 500-2.png,185,500,158,297,297,0.2,59400.00000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_467.png,MICROPLASTIC,train,PEL 200X.png,467,200,10,8,10,0.5,5000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_228.png,MICROPLASTIC,train,PE-1000x.png,228,1000,26,19,26,0.1,2600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_436.png,MICROPLASTIC,train,PEL 200X.png,436,200,15,7,15,0.5,7500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_554.png,MICROPLASTIC,train,PELFT 2000X.png,554,2000,23,20,23,0.05,1150.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_459.png,MICROPLASTIC,train,PEL 200X.png,459,200,13,9,13,0.5,6500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_55.png,MICROPLASTIC,train,PE 1000X 3.png,55,1000,12,8,12,0.1,1200.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_291.png,NANOPLASTIC,train,PE-1000x.png,291,1000,6,4,6,0.1,600.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_261.png,NANOPLASTIC,train,PE-1000x.png,261,1000,7,6,7,0.1,700.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_47.png,MICROPLASTIC,train,PE 1000X 3.png,47,1000,68,65,68,0.1,6800.000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_276.png,NANOPLASTIC,train,PE-1000x.png,276,1000,9,7,9,0.1,900.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_16.png,MICROPLASTIC,train,PE 1000X 2.png,16,1000,28,35,35,0.1,3500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_468.png,MICROPLASTIC,train,PEL 200X.png,468,200,10,8,10,0.5,5000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_568.png,NANOPLASTIC,train,PELFT 2000X.png,568,2000,10,9,10,0.05,500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_225.png,MICROPLASTIC,train,PE-1000x.png,225,1000,10,12,12,0.1,1200.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_319.png,NANOPLASTIC,train,PE-2-3000X.png,319,3000,11,15,15,0.03333333333333333,500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_491.png,MICROPLASTIC,train,PEL 500X.png,491,500,7,7,7,0.2,1400.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_219.png,NANOPLASTIC,train,PE-1000x.png,219,1000,8,6,8,0.1,800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_426.png,MICROPLASTIC,train,PEL 200X.png,426,200,14,18,18,0.5,9000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_562.png,NANOPLASTIC,train,PELFT 2000X.png,562,2000,9,9,9,0.05,450.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_51.png,MICROPLASTIC,train,PE 1000X 3.png,51,1000,16,15,16,0.1,1600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_31.png,NANOPLASTIC,train,PE 1000X 2.png,31,1000,9,6,9,0.1,900.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_401.png,NANOPLASTIC,train,PE-3000X.png,401,3000,9,7,9,0.03333333333333333,300.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_84.png,MICROPLASTIC,train,PE 1000X 3.png,84,1000,9,10,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_78.png,MICROPLASTIC,train,PE 1000X 3.png,78,1000,14,9,14,0.1,1400.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-3_197.png,MICROPLASTIC,train,PE 500-3.png,197,500,10,6,10,0.2,2000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_223.png,MICROPLASTIC,train,PE-1000x.png,223,1000,14,9,14,0.1,1400.0000000000002,PE
