source_image,status,box_area_norm,any_pred_overlap
PS_PS-100x.png,TP,9.801961482747396e-05,
PS_PS-100x.png,TP,0.00029296875,
PS_PS-100x.png,TP,0.00023274739583333337,
PS_PS-100x.png,FN,0.003021122511555989,True
PS_PS-100x.png,TP,0.0013387044270833336,
PS_PS-100x.png,TP,0.0003369140625,
PS_PS-100x.png,TP,0.00020507812500000002,
PS_PS-100x.png,TP,0.0036328125000000006,
PS_PS-100x.png,FN,0.02108597466984049,True
PS_PS-100x.png,FN,2.0465755737304837e-05,False
PS_PS-100x.png,TP,0.00023535090820312553,
PS_PS-100x.png,FN,0.00010011261255696586,False
PS_PS-100x.png,FN,3.427550876464855e-05,False
PS_PS-100x.png,FN,1.5323121386719143e-05,False
PS_PS-100x.png,FN,1.0252932128906465e-05,False
PS_PS-100x.png,FN,1.4256703613281483e-05,False
PS_PS-100x.png,FN,4.79422675130208e-05,False
PS_PS-100x.png,FN,9.101160392252622e-06,False
PS_PS-100x.png,FN,0.00014052756643880248,False
PS_PS-100x.png,FN,3.820560161132803e-05,False
PS_PS-100x.png,FN,4.5304009277343745e-06,False
PS_PS-100x.png,FN,1.4791730712890873e-05,False
PS_PS-100x.png,FN,7.050637719726619e-06,False
PS_PS-100x.png,FN,7.6293398437500694e-06,False
PS_PS-100x.png,FN,7.368089973958356e-06,False
PS_PS-100x.png,FN,6.317903645833345e-06,False
PS_PS-100x.png,FN,5.6478012499999805e-05,False
PS_PS-100x.png,FN,2.414480234374953e-05,False
PS_PS-100x.png,FN,1.7250439550781422e-05,False
PS_PS-100x.png,FN,1.5687382071940286e-05,False
PS_PS-100x.png,FN,4.899049479166677e-06,False
PS_PS-100x.png,FN,1.3495264453124645e-05,False
PS_PS-100x.png,FN,7.647281328125046e-05,False
PS_PS-100x.png,FN,1.8693792187499778e-05,False
PS_PS-100x.png,TP,8.345578437500002e-05,
PS_PS-100x.png,FN,3.292309244791708e-05,False
PS_PS-100x.png,FN,2.2923472135416575e-05,False
PS_PS-100x.png,FN,0.0005482594694091798,False
PS_PS-100x.png,FN,2.2021199462890996e-05,False
PS_PS-100x.png,FN,5.6953869628906616e-06,False
PS_PS-100x.png,FN,4.6074883772786866e-05,False
PS_PS-100x.png,FN,7.738936035156209e-06,False
PS_PS-100x.png,FN,2.2494465755208345e-05,False
PS_PS-100x.png,FN,1.008066577148444e-05,False
PS_PS-100x.png,FN,1.6663526171874943e-05,False
PS_PS-100x.png,FN,3.7481282552082594e-06,False
PS_PS-100x.png,FN,7.271722412109421e-06,False
PS_PS-100x.png,FN,9.49894495442713e-06,False
PS_PS-100x.png,FN,2.2732937434895638e-05,False
PS_PS-100x.png,FN,5.300485620117182e-05,False
PS_PS-100x.png,TP,7.234831702473915e-05,
PS_PS-100x.png,FN,2.1585189973958267e-05,False
PS_PS-100x.png,FN,2.3852508544921802e-05,False
PS_PS-100x.png,FN,2.7782274348958335e-05,False
PS_PS-100x.png,FN,4.8795365405273825e-05,False
PS_PS-100x.png,FN,1.4046019897460785e-05,False
PS_PS-100x.png,FN,0.0002031109577636715,False
PS_PS-100x.png,FN,7.88421621093752e-06,False
PS_PS-100x.png,FN,6.873734179687442e-06,False
PS_PS-100x.png,FN,0.00018187741528320333,False
PS_PS-100x.png,FN,8.56673972167978e-06,False
PS_PS-100x.png,FN,0.00022637600208333354,False
PS_PS-100x.png,FN,1.6010839062500118e-05,False
PS_PS-100x.png,FN,8.68632031250005e-06,False
PS_PS-100x.png,FN,1.1715895727538938e-05,False
PS_PS-100x.png,FN,5.768925781249991e-06,False
PS_PS-100x.png,FN,5.692749511718623e-06,False
PS_PS-100x.png,FN,1.6879208496093595e-05,False
PS_PS-100x.png,FN,7.774517016601575e-05,False
PS_PS-100x.png,FN,0.00020743457066243418,False
PS_PS-100x.png,TP,0.00016302677385253818,
PS_PS-100x.png,FN,3.6575520833333493e-06,False
PS_PS-100x.png,FN,7.140235611979151e-06,False
PS_PS-100x.png,FN,7.13526837890621e-05,False
PS_PS-100x.png,FN,1.825995407714867e-05,False
PS_PS-100x.png,FN,0.004143953072786459,False
PS_PS-100x.png,FN,0.0006466254460449247,False
PS_PS-100x.png,FN,1.601424042968761e-05,False
PS_PS-100x.png,FN,3.911682942708352e-06,False
PS_PS-100x.png,TP,8.040317216796819e-05,
PS_PS-100x.png,FN,9.559267902018212e-05,False
PS_PS-100x.png,FN,3.5016956787109086e-05,False
PS_PS-100x.png,FN,9.334370117187441e-06,False
PS_PS-100x.png,FN,7.988689843749919e-06,False
PS_PS-100x.png,FN,8.571637174479194e-06,False
PS_PS-100x.png,FN,1.412526425781261e-05,False
PS_PS-100x.png,FN,3.40162805989586e-05,False
PS_PS-100x.png,FN,8.853981445312513e-06,False
PS_PS-100x.png,FN,4.1658138020832005e-06,False
PS_PS-100x.png,FN,1.422647119140643e-05,False
PS_PS-100x.png,FN,4.438641914876342e-05,True
PS_PS-100x.png,FN,0.0015575279947916665,True
PS_PS-100x.png,FN,0.0006832751567382812,False
PS_PS-100x.png,FN,1.4051103515624759e-05,False
PS_PS-100x.png,FN,2.0071584895833323e-05,False
PS_PS-100x.png,FN,6.449560416666671e-05,False
PS_PS-100x.png,FN,4.479879049479164e-05,False
PS_PS-100x.png,FN,3.8318070019530614e-05,False
PS_PS-100x.png,FN,0.0009434795642903654,True
PS_PS-100x.png,FN,0.00034941141772460864,True
PS_PS-100x.png,FN,4.1467469628906524e-05,False
PS_PS-100x.png,FN,0.0007917338789062482,True
PS_PS-100x.png,FN,0.0004053608613281251,False
PS_PS-100x.png,FN,5.5123632812500476e-06,False
PS_PS-100x.png,FN,8.178770637207018e-05,False
PS_PS-100x.png,TP,7.4943274707031e-05,
PS_PS-100x.png,FN,0.00020721972486979233,False
PS_PS-100x.png,FN,9.186608317057252e-06,False
PS_PS-100x.png,FN,5.336192024739575e-06,False
PS_PS-100x.png,FN,0.0005647360358886723,True
PS_PS-100x.png,FN,1.6890306722005104e-05,False
PS_PS-100x.png,FN,0.0004792513741048177,True
PS_PS-100x.png,FN,2.9034973925781274e-05,False
PS_PS-100x.png,FN,9.749210481770899e-05,False
PS_PS-100x.png,TP,9.539812988281246e-05,
PS_PS-100x.png,FN,0.0008354306373209633,True
PS_PS-100x.png,FN,9.231207926432337e-06,False
PS_PS-100x.png,TP,0.00013291072591145825,
PS_PS-100x.png,FN,8.927371728515617e-05,False
PS_PS-100x.png,FN,5.2510870483398264e-05,False
PS_PS-100x.png,FN,2.4294791479492228e-05,False
PS_PS-100x.png,FN,2.114717011718748e-05,False
PS_PS-100x.png,FN,0.0002276281970703123,False
PS_PS-100x.png,TP,4.5951059765625135e-05,
PS_PS-100x.png,FN,0.000190514907096354,True
PS_PS-100x.png,FN,5.103220910644512e-05,False
PS_PS-100x.png,TP,0.00019851301132812552,
PS_PS-100x.png,FN,2.8581431315104597e-05,False
PS_PS-100x.png,FN,5.767097778320308e-05,False
PS_PS-100x.png,FN,0.0017872587370605462,True
PS_PS-100x.png,FN,6.359969972330691e-05,False
PS_PS-100x.png,FN,1.5746591992187338e-05,True
PS_PS-100x.png,FN,5.843173437500031e-06,False
PS_PS-100x.png,FN,0.0002126330156250001,False
PS_PS-100x.png,FN,1.843405497233049e-05,False
PS_PS-100x.png,TP,0.0003436207361328132,
PS_PS-100x.png,FN,3.698286947428355e-05,False
PS_PS-100x.png,FN,6.063503326822889e-05,False
PS_PS-100x.png,FN,0.00014908554208984377,False
PS_PS-100x.png,FN,0.000439833681860352,True
PS_PS-100x.png,FN,2.2805155517578354e-05,False
PS_PS-100x.png,TP,0.00024665791274414064,
PS_PS-100x.png,FN,0.003290533632950847,True
PS_PS-100x.png,FN,2.0303513639322954e-05,False
PS_PS-100x.png,FN,8.384056054687518e-06,False
PS_PS-100x.png,FN,6.0663046101888046e-05,False
PS_PS-100x.png,FN,3.430899812825543e-05,False
PS_PS-100x.png,FN,2.5994258219401247e-05,False
PS_PS-100x.png,TP,0.0001327239390624996,
PS_PS-100x.png,FN,1.4524844010416554e-05,True
PS_PS-100x.png,TP,0.0002307571480957032,
PS_PS-100x.png,FN,1.4547009521484338e-05,False
PS_PS-100x.png,TP,5.899661807454435e-05,
PS_PS-100x.png,FN,1.2319493815104092e-05,False
PS_PS-100x.png,FN,7.907761800130328e-06,False
PS_PS-100x.png,FN,4.876430961100254e-05,False
PS_PS-100x.png,FN,5.452070312500001e-05,False
PS_PS-100x.png,FN,5.004217513020808e-06,False
PS_PS-100x.png,FN,1.745126962076816e-05,False
PS_PS-100x.png,FN,5.848639700520836e-05,False
PS_PS-100x.png,FN,7.045961669921809e-06,False
PS_PS-100x.png,FN,5.02507014973959e-05,False
PS_PS-100x.png,TP,0.00011589839926757786,
PS_PS-100x.png,FN,2.1491688867187544e-05,False
PS_PS-100x.png,FN,6.934269213867167e-06,False
PS_PS-100x.png,FN,1.2161309521484419e-05,False
PS_PS-100x.png,FN,3.0544809619140614e-05,False
PS_PS-100x.png,FN,9.922678569335922e-05,False
PS_PS-100x.png,FN,9.295724869791705e-06,False
PS_PS-100x.png,FN,6.919729752604164e-06,False
PS_PS-100x.png,FN,2.775086601562515e-05,False
PS_PS-100x.png,FN,9.04106359863284e-06,False
PS_PS-100x.png,FN,8.44453157552082e-06,False
PS_PS-100x.png,FN,5.508817822265643e-06,False
PS_PS-100x.png,FN,0.00020825468774414077,False
PS_PS-100x.png,FN,2.2680145068359384e-05,False
PS_PS-100x.png,FN,3.2000269401041675e-05,False
PS_PS-100x.png,FN,7.248694140624977e-06,False
PS_PS-100x.png,TP,5.206715994466145e-05,
PS_PS-100x.png,FN,2.8236301611328088e-05,False
PS_PS-100x.png,FN,5.221820214843764e-06,False
PS_PS-100x.png,FN,4.0611119018554684e-05,False
PS_PS-100x.png,FN,1.886172792968744e-05,False
PS_PS-100x.png,TP,0.00016648709593098968,
PS_PS-100x.png,FN,2.4282627897135377e-05,False
PS_PS-100x.png,FN,2.798873833007814e-05,False
PS_PS-100x.png,FN,3.3633223307291625e-05,False
PS_PS-100x.png,FN,4.2960709635416725e-06,False
PS_PS-100x.png,FN,2.474163494466144e-05,False
PS_PS-100x.png,FN,9.480996822916651e-05,False
PS_PS-100x.png,FN,2.5056533862304714e-05,False
PS_PS-100x.png,TP,6.255726822916665e-05,
PS_PS-100x.png,FN,5.3182351066080706e-05,False
PS_PS-100x.png,FN,4.336879565429694e-05,False
PS_PS-100x.png,FN,4.9853816455078165e-05,False
PS_PS-100x.png,FN,2.8444348388671764e-05,False
PS_PS-100x.png,FN,1.3166746468098956e-05,False
PS_PS-100x.png,FN,2.8264976814778663e-05,False
PS_PS-100x.png,FN,7.805962500000056e-06,False
PS_PS-100x.png,FN,6.315401927083333e-05,False
PS_PS-100x.png,FN,3.9061777864583405e-05,False
PS_PS-100x.png,FN,3.086878247070285e-05,False
PS_PS-100x.png,FN,6.0945072119140724e-05,False
PS_PS-100x.png,FN,1.4920867024739511e-05,False
PS_PS-100x.png,FN,6.60505476888022e-06,False
PS_PS-100x.png,FN,7.288977278645812e-06,False
PS_PS-100x.png,FN,2.417359417317704e-05,False
PS_PS-100x.png,FN,1.4925284790039004e-05,False
PS_PS-100x.png,FN,7.570058496093804e-06,False
PS_PS-100x.png,FN,1.6766184423827553e-05,False
PS_PS-100x.png,FN,8.844161279296837e-06,False
PS_PS-100x.png,FN,7.4817779134114724e-06,False
PS_PS-100x.png,FN,3.380828144531225e-05,False
PS_PS-100x.png,FN,6.561644335937534e-06,False
PS_PS-100x.png,FN,4.93269349772139e-06,False
PS_PS-100x.png,FN,6.248180786132599e-06,False
PS_PS-100x.png,FN,6.936806250000034e-06,False
PS_PS-100x.png,TP,6.651022158203114e-05,
PS_PS-100x.png,TP,7.248780467122379e-05,
PS_PS-100x.png,FN,5.8425597753906307e-05,False
PS_PS-100x.png,FN,2.798219531249992e-05,False
PS_PS-100x.png,TP,0.00017732055457356634,
PS_PS-100x.png,FN,4.7754973551432556e-05,True
PS_PS-100x.png,FN,1.3108376253254942e-05,False
PS_PS-100x.png,FN,2.366395422363308e-05,False
PS_PS-100x.png,FN,2.214093152669265e-05,False
PS_PS-100x.png,FN,3.135229479166711e-05,False
PS_PS-100x.png,FN,2.489366178385392e-05,False
PS_PS-100x.png,FN,7.256527832031234e-06,False
PS_PS-100x.png,FN,9.351749511718919e-06,False
PS_PS-100x.png,FN,0.00015333858235677092,False
PS_PS-100x.png,TP,0.00012684902343750105,
PS_PS-100x.png,FN,1.7848774772135085e-05,True
PS_PS-100x.png,FN,4.3640451416015905e-05,False
PS_PS-100x.png,FN,6.611314453124909e-06,False
PS_PS-100x.png,FN,1.6685954687500184e-05,False
PS_PS-100x.png,TP,7.996454960937454e-05,
PS_PS-100x.png,FN,5.479065130208316e-05,False
PS_PS-100x.png,FN,0.0011002613730143203,True
PS_PS-100x.png,TP,7.008816955566462e-05,
PS_PS-100x.png,FN,3.740278847656281e-05,False
PS_PS-100x.png,TP,0.00044055798278808524,
PS_PS-100x.png,TP,7.753775175781176e-05,
PS_PS-100x.png,FN,3.4770710595703435e-05,False
PS_PS-100x.png,FN,0.00034313090859374845,True
PS_PS-100x.png,TP,0.0005239508876790386,
PS_PS-100x.png,FN,0.00045304827591959615,True
PS_PS-100x.png,TP,0.00013134481894531253,
PS_PS-100x.png,FN,0.002751477118815104,True
PS_PS-100x.png,FN,1.2744382055664486e-05,False
PS_PS-100x.png,FN,0.002451414482226558,True
PS_PS-100x.png,FN,0.0020929792050781277,True
PS_PS-100x.png,FN,2.495970335286477e-05,False
PS_PS-100x.png,FN,5.171590354817706e-05,False
PS_PS-100x.png,FN,1.7271183105468848e-05,False
PS_PS-100x.png,TP,7.772248408203234e-05,
PS_PS-100x.png,FN,4.221738229166704e-05,False
PS_PS-100x.png,FN,0.00028724586013183733,False
PS_PS-100x.png,FN,1.641623291015627e-05,False
PS_PS-100x.png,FN,0.00022066854538574306,False
PS_PS-100x.png,TP,0.00010627572968750007,
PS_PS-100x.png,TP,0.0006116984091796898,
PS_PS-100x.png,FN,8.133844482421496e-06,False
PS_PS-100x.png,TP,0.0001758937914062516,
PS_PS-100x.png,TP,0.0003845890222981782,
PS_PS-100x.png,FN,2.7854236979166462e-05,False
PS_PS-100x.png,FN,8.433224414063044e-06,False
PS_PS-100x.png,FN,8.277391015625107e-06,False
PS_PS-100x.png,TP,0.0006082651112630231,
PS_PS-100x.png,FN,0.0002024772017740874,True
PS_PS-100x.png,FN,5.701452275390646e-05,False
PS_PS-100x.png,FN,1.8605358154296926e-05,False
PS_PS-100x.png,FN,7.436097624511758e-05,False
PS_PS-100x.png,FN,5.511023403320316e-05,False
PS_PS-100x.png,FN,2.219031579589834e-05,False
PS_PS-100x.png,FN,1.7914218969726664e-05,False
PS_PS-100x.png,FN,1.3233620418294803e-05,False
PS_PS-100x.png,TP,0.0001354439616210941,
PS_PS-100x.png,FN,1.805923563639259e-05,False
PS_PS-100x.png,TP,0.0005292473592773445,
PS_PS-100x.png,FN,6.988197442220105e-05,False
PS_PS-100x.png,FN,3.3456883325195174e-05,False
PS_PS-100x.png,TP,0.00010461783110351638,
PS_PS-100x.png,FN,9.402932845052273e-06,False
PS_PS-100x.png,FN,1.619338047688774e-05,False
PS_PS-100x.png,FN,0.0002046639377115893,True
PS_PS-100x.png,FN,9.674495457356784e-05,False
PS_PS-100x.png,FN,2.1955072949218527e-05,False
PS_PS-100x.png,TP,0.0005325817968994139,
PS_PS-100x.png,FN,1.5352930314127327e-05,False
PS_PS-100x.png,FN,6.141195312500131e-06,True
PS_PS-100x.png,FN,2.2810740039062514e-05,False
