source_image,class,fold,n_variants,n_small,n_medium,n_large
PET_PET 5000X,PET,4,1,75,1,0
PET_PET 5000X 1,PET,4,1,141,0,0
PET_PET 5000X 2,PET,1,1,106,0,0
PET_PET-10000X,PET,3,1,26,5,0
PET_PET-2-3000X,PET,2,1,425,0,0
PET_PET-2000X,PET,0,1,517,1,0
PET_PET-2000X-2,PET,1,1,490,0,0
PET_PET-2000X-3,PET,0,1,485,0,0
PET_PET-2000X-4,PET,1,1,436,0,0
PET_PET-5000X,PET,0,1,106,0,0
PET_PET-5000X-2,PET,4,1,82,1,0
PET_PET-5000X-3,PET,3,1,94,1,0
PET_PET-5000X-4,PET,2,1,101,1,0
PET_PET-B-1000X,PET,0,1,75,0,0
PET_PET-B-2-5000X,PET,4,1,90,0,0
PET_PET-B-2000x-2,PET,1,1,121,0,0
PET_PET-B-2000x-4,PET,2,1,113,0,0
PET_PET-B-5000X,PET,4,1,3,0,0
PET_PET-B-5000x-1,PET,3,1,36,0,0
PET_PET-B2-2000x-1,PET,1,1,226,0,0
PET_PET-B2-2000x-2,PET,1,1,143,0,0
PET_PET-B2-2000x-4,PET,3,1,156,0,0
PET_PET-B2-5000x-4,PET,2,1,29,0,0
PET_PET1-5000X,PET,0,1,218,3,1
PET_PETL 1000X,PET,3,1,54,2,0
PET_PETL 200X,PET,0,1,652,0,0
PET_PETL 5000X,PET,2,1,12,2,0
PE_PE 1000-1,PE,0,1,8,0,0
PE_PE 1000X,PE,1,1,20,0,0
PE_PE 1000X 2,PE,4,6,34,0,0
PE_PE 1000X 3,PE,3,6,49,0,0
PE_PE 2000X,PE,3,1,2,0,0
PE_PE 2000X2,PE,0,6,5,0,0
PE_PE 3000X,PE,0,1,14,0,0
PE_PE 3000X 3,PE,1,6,20,0,0
PE_PE 3000X2,PE,2,1,19,0,0
PE_PE 500-1,PE,3,6,13,0,0
PE_PE 500-2,PE,4,6,9,1,0
PE_PE 500-3,PE,2,6,10,0,0
PE_PE-10000X,PE,3,6,0,0,0
PE_PE-1000x,PE,4,6,114,0,0
PE_PE-2-3000X,PE,0,6,36,0,0
PE_PE-2000X,PE,2,6,16,0,0
PE_PE-2000X-2,PE,4,6,9,0,1
PE_PE-2000X-3,PE,1,6,15,0,1
PE_PE-3000X,PE,2,6,11,0,0
PE_PE-5000x,PE,2,1,0,0,0
PE_PE-5000x-1,PE,4,6,12,0,0
PE_PEL 200X,PE,1,6,61,0,0
PE_PEL 500X,PE,0,6,65,1,2
PE_PELFT 2000X,PE,1,6,26,1,1
PE_PELFT 500X,PE,3,1,40,0,0
PP_PP 100X,PP,1,1,421,0,0
PP_PP 100X2,PP,2,1,330,0,0
PP_PP 2000X,PP,0,1,79,1,1
PP_PP 2000X2,PP,1,1,93,2,2
PP_PP 500-1,PP,0,1,7,3,0
PP_PP 5000X,PP,1,1,10,2,0
PP_PP 500X,PP,4,1,234,1,0
PP_PP 500X2,PP,0,1,113,0,0
PP_PP-10000X,PP,3,1,16,0,0
PP_PP-1000x1,PP,4,1,1267,1,0
PP_PP-1000x2,PP,4,1,956,4,0
PP_PP-1000x3,PP,2,1,1072,1,1
PP_PP-2-3000X,PP,2,1,218,0,0
PP_PP-3000X,PP,2,1,329,1,0
PP_PP-3000x1,PP,1,1,335,0,0
PP_PP-3000x2,PP,4,1,217,1,0
PP_PP-3000x3,PP,0,1,226,1,0
PP_PP-3000x4,PP,2,1,195,3,0
PP_PP-3000x5,PP,2,1,248,1,0
PP_PP-3000x6,PP,3,1,229,2,0
PP_PP-3000x7,PP,0,1,230,3,0
PP_PP-3000x8,PP,3,1,255,2,0
PP_PP-5000X,PP,4,1,78,1,2
PP_PPFT 2000X,PP,1,1,50,0,0
PP_PPFT 200X,PP,1,1,367,0,0
PP_PPFT 500X,PP,3,1,212,0,0
PP_PPLFT 200X,PP,0,1,337,0,0
PP_PPLFT 500X,PP,3,1,202,0,0
PS_PS 2000X,PS,0,1,589,3,0
PS_PS 5000X,PS,1,1,164,6,1
PS_PS 500X,PS,2,1,835,5,0
PS_PS 500X 2,PS,2,1,209,0,2
PS_PS 500X2,PS,3,1,937,3,0
PS_PS-100x,PS,4,1,948,5,4
PS_PS-200X,PS,1,1,1927,4,3
PS_PS-200x-2,PS,3,1,160,0,0
PS_PS-200x-3,PS,4,1,97,1,0
PS_PS-200x-4,PS,4,1,611,4,1
PS_PS2  2000X,PS,3,1,416,11,0
PS_PS2  5000X,PS,0,1,220,8,1
PS_PS2-2000x-3,PS,0,1,113,2,1
PS_PS2-200x-1,PS,4,1,294,0,0
PS_PS2-200x2,PS,2,1,152,4,0
PS_PSFT 2000X,PS,0,1,279,16,0
PS_PSFT 200X,PS,1,1,1013,1,0
PS_PSL 10000X,PS,1,1,127,12,1
PS_PSL 200X,PS,3,1,815,4,0
PS_PSL 5000X,PS,1,1,253,6,1
PS_PSLFT 2000X,PS,2,1,344,7,3
PS_PSLFT 200X,PS,0,1,1096,3,0
