source_image,class,fold,n_variants,n_nano,n_micro
PET_PET 5000X,PET,4,1,64,12
PET_PET 5000X 1,PET,4,1,125,16
PET_PET 5000X 2,PET,1,1,96,10
PET_PET-10000X,PET,3,1,23,8
PET_PET-2-3000X,PET,2,1,415,10
PET_PET-2000X,PET,0,1,437,81
PET_PET-2000X-2,PET,1,1,422,68
PET_PET-2000X-3,PET,0,1,390,95
PET_PET-2000X-4,PET,1,1,367,69
PET_PET-5000X,PET,0,1,93,13
PET_PET-5000X-2,PET,4,1,77,6
PET_PET-5000X-3,PET,3,1,81,14
PET_PET-5000X-4,PET,2,1,91,11
PET_PET-B-1000X,PET,0,1,29,46
PET_PET-B-2-5000X,PET,4,1,88,2
PET_PET-B-2000x-2,PET,1,1,75,46
PET_PET-B-2000x-4,PET,2,1,80,33
PET_PET-B-5000X,PET,4,1,2,1
PET_PET-B-5000x-1,PET,3,1,30,6
PET_PET-B2-2000x-1,PET,1,1,172,54
PET_PET-B2-2000x-2,PET,1,1,97,46
PET_PET-B2-2000x-4,PET,3,1,105,51
PET_PET-B2-5000x-4,PET,2,1,21,8
PET_PET1-5000X,PET,0,1,192,30
PET_PETL 1000X,PET,3,1,3,53
PET_PETL 200X,PET,0,1,0,652
PET_PETL 5000X,PET,2,1,12,2
PE_PE 1000-1,PE,0,1,1,7
PE_PE 1000X,PE,1,1,6,14
PE_PE 1000X 2,PE,4,6,22,12
PE_PE 1000X 3,PE,3,6,26,23
PE_PE 2000X,PE,3,1,0,2
PE_PE 2000X2,PE,0,6,4,1
PE_PE 3000X,PE,0,1,11,3
PE_PE 3000X 3,PE,1,6,14,6
PE_PE 3000X2,PE,2,1,15,4
PE_PE 500-1,PE,3,6,0,13
PE_PE 500-2,PE,4,6,0,10
PE_PE 500-3,PE,2,6,0,10
PE_PE-10000X,PE,3,6,0,0
PE_PE-1000x,PE,4,6,79,35
PE_PE-2-3000X,PE,0,6,34,2
PE_PE-2000X,PE,2,6,5,11
PE_PE-2000X-2,PE,4,6,4,6
PE_PE-2000X-3,PE,1,6,8,8
PE_PE-3000X,PE,2,6,11,0
PE_PE-5000x,PE,2,1,0,0
PE_PE-5000x-1,PE,4,6,8,4
PE_PEL 200X,PE,1,6,0,61
PE_PEL 500X,PE,0,6,2,66
PE_PELFT 2000X,PE,1,6,23,5
PE_PELFT 500X,PE,3,1,0,40
PP_PP 100X,PP,1,1,0,421
PP_PP 100X2,PP,2,1,0,330
PP_PP 2000X,PP,0,1,67,14
PP_PP 2000X2,PP,1,1,83,14
PP_PP 500-1,PP,0,1,0,10
PP_PP 5000X,PP,1,1,8,4
PP_PP 500X,PP,4,1,15,220
PP_PP 500X2,PP,0,1,4,109
PP_PP-10000X,PP,3,1,15,1
PP_PP-1000x1,PP,4,1,892,376
PP_PP-1000x2,PP,4,1,594,366
PP_PP-1000x3,PP,2,1,668,406
PP_PP-2-3000X,PP,2,1,195,23
PP_PP-3000X,PP,2,1,301,29
PP_PP-3000x1,PP,1,1,254,81
PP_PP-3000x2,PP,4,1,168,50
PP_PP-3000x3,PP,0,1,169,58
PP_PP-3000x4,PP,2,1,166,32
PP_PP-3000x5,PP,2,1,213,36
PP_PP-3000x6,PP,3,1,191,40
PP_PP-3000x7,PP,0,1,191,42
PP_PP-3000x8,PP,3,1,212,45
PP_PP-5000X,PP,4,1,74,7
PP_PPFT 2000X,PP,1,1,29,21
PP_PPFT 200X,PP,1,1,0,367
PP_PPFT 500X,PP,3,1,3,209
PP_PPLFT 200X,PP,0,1,0,337
PP_PPLFT 500X,PP,3,1,2,200
PS_PS 2000X,PS,0,1,237,355
PS_PS 5000X,PS,1,1,115,56
PS_PS 500X,PS,2,1,1,839
PS_PS 500X 2,PS,2,1,8,203
PS_PS 500X2,PS,3,1,2,938
PS_PS-100x,PS,4,1,0,957
PS_PS-200X,PS,1,1,2,1932
PS_PS-200x-2,PS,3,1,0,160
PS_PS-200x-3,PS,4,1,0,98
PS_PS-200x-4,PS,4,1,0,616
PS_PS2  2000X,PS,3,1,96,331
PS_PS2  5000X,PS,0,1,115,114
PS_PS2-2000x-3,PS,0,1,78,38
PS_PS2-200x-1,PS,4,1,0,294
PS_PS2-200x2,PS,2,1,0,156
PS_PSFT 2000X,PS,0,1,21,274
PS_PSFT 200X,PS,1,1,0,1014
PS_PSL 10000X,PS,1,1,111,29
PS_PSL 200X,PS,3,1,0,819
PS_PSL 5000X,PS,1,1,143,117
PS_PSLFT 2000X,PS,2,1,96,258
PS_PSLFT 200X,PS,0,1,0,1099
