timestamp_utc,current_experiment,current_repetition,current_seed,cpu_pct,ram_used_gb,ram_total_gb,disk_free_gb,gpu_name,gpu_temp_c,gpu_power_w,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_error
2026-09-06T14:32:34.748641+00:00,,,,0.0,4.37,60.43,58.16,NVIDIA GeForce RTX 4090,31,26.99,0,628.8,24564.0,
2026-09-06T14:32:44.765276+00:00,01_yolo26_main,0,0,5.9,7.88,60.43,58.16,NVIDIA GeForce RTX 4090,39,203.36,80,4706.1,24564.0,
2026-09-06T14:32:54.776575+00:00,01_yolo26_main,0,0,5.9,8.17,60.43,57.77,NVIDIA GeForce RTX 4090,41,207.97,83,4916.1,24564.0,
2026-09-06T14:33:04.788279+00:00,01_yolo26_main,0,0,5.6,8.01,60.43,57.77,NVIDIA GeForce RTX 4090,42,212.87,83,4916.1,24564.0,
2026-09-06T14:33:14.799439+00:00,01_yolo26_main,0,0,5.7,8.3,60.43,57.77,NVIDIA GeForce RTX 4090,39,133.14,83,4916.1,24564.0,
2026-09-06T14:33:24.811255+00:00,01_yolo26_main,0,0,5.8,8.22,60.43,57.77,NVIDIA GeForce RTX 4090,43,210.63,84,4916.1,24564.0,
2026-09-06T14:33:34.822699+00:00,01_yolo26_main,0,0,6.5,8.23,60.43,57.77,NVIDIA GeForce RTX 4090,42,124.9,2,4916.1,24564.0,
2026-09-06T14:33:44.834411+00:00,01_yolo26_main,0,0,5.8,7.16,60.43,57.77,NVIDIA GeForce RTX 4090,45,210.14,81,4916.1,24564.0,
2026-09-06T14:33:54.845865+00:00,01_yolo26_main,0,0,5.7,7.18,60.43,57.77,NVIDIA GeForce RTX 4090,45,196.53,83,4916.1,24564.0,
2026-09-06T14:34:04.857133+00:00,01_yolo26_main,0,0,5.8,7.04,60.43,57.77,NVIDIA GeForce RTX 4090,47,207.38,83,4916.1,24564.0,
2026-09-06T14:34:14.869411+00:00,01_yolo26_main,0,0,5.8,7.15,60.43,57.77,NVIDIA GeForce RTX 4090,46,207.45,82,4916.1,24564.0,
2026-09-06T14:34:24.881092+00:00,01_yolo26_main,0,0,5.8,7.02,60.43,57.77,NVIDIA GeForce RTX 4090,47,207.94,81,4916.1,24564.0,
2026-09-06T14:34:34.893630+00:00,01_yolo26_main,0,0,5.7,6.88,60.43,57.77,NVIDIA GeForce RTX 4090,48,206.89,82,4916.1,24564.0,
2026-09-06T14:34:44.906211+00:00,01_yolo26_main,0,0,5.7,6.93,60.43,57.77,NVIDIA GeForce RTX 4090,48,203.75,83,4916.1,24564.0,
2026-09-06T14:34:54.918138+00:00,01_yolo26_main,0,0,5.6,7.12,60.43,57.77,NVIDIA GeForce RTX 4090,47,207.31,82,4916.1,24564.0,
2026-09-06T14:35:04.929620+00:00,01_yolo26_main,0,0,5.7,7.09,60.43,57.77,NVIDIA GeForce RTX 4090,46,161.34,83,4916.1,24564.0,
2026-09-06T14:35:14.940984+00:00,01_yolo26_main,0,0,5.7,7.05,60.43,57.77,NVIDIA GeForce RTX 4090,48,207.25,81,4916.1,24564.0,
2026-09-06T14:35:24.952402+00:00,01_yolo26_main,0,0,5.6,7.08,60.43,57.77,NVIDIA GeForce RTX 4090,44,125.78,83,4916.1,24564.0,
2026-09-06T14:35:34.964580+00:00,01_yolo26_main,0,0,5.8,7.14,60.43,57.77,NVIDIA GeForce RTX 4090,49,207.56,78,4916.1,24564.0,
2026-09-06T14:35:44.976516+00:00,01_yolo26_main,0,0,5.7,7.19,60.43,57.77,NVIDIA GeForce RTX 4090,48,157.9,15,4916.1,24564.0,
2026-09-06T14:35:54.988015+00:00,01_yolo26_main,0,0,5.8,7.01,60.43,57.77,NVIDIA GeForce RTX 4090,50,206.57,81,4916.1,24564.0,
2026-09-06T14:36:04.999478+00:00,01_yolo26_main,0,0,5.7,7.21,60.43,57.77,NVIDIA GeForce RTX 4090,49,203.83,82,4916.1,24564.0,
2026-09-06T14:36:15.011127+00:00,01_yolo26_main,0,0,5.7,7.17,60.43,57.77,NVIDIA GeForce RTX 4090,49,206.73,81,4916.1,24564.0,
2026-09-06T14:36:25.023972+00:00,01_yolo26_main,0,0,5.7,7.25,60.43,57.77,NVIDIA GeForce RTX 4090,49,207.88,83,4916.1,24564.0,
2026-09-06T14:36:35.035936+00:00,01_yolo26_main,0,0,5.8,7.02,60.43,57.77,NVIDIA GeForce RTX 4090,50,206.09,84,4916.1,24564.0,
2026-09-06T14:36:45.047412+00:00,01_yolo26_main,0,0,5.7,7.11,60.43,57.77,NVIDIA GeForce RTX 4090,50,207.49,81,4916.1,24564.0,
2026-09-06T14:36:55.059479+00:00,01_yolo26_main,0,0,5.7,6.97,60.43,57.77,NVIDIA GeForce RTX 4090,51,206.3,80,4916.1,24564.0,
2026-09-06T14:37:05.070940+00:00,01_yolo26_main,0,0,5.7,7.25,60.43,57.77,NVIDIA GeForce RTX 4090,50,206.67,80,4916.1,24564.0,
2026-09-06T14:37:15.082337+00:00,01_yolo26_main,0,0,5.7,7.16,60.43,57.77,NVIDIA GeForce RTX 4090,46,168.27,7,4916.1,24564.0,
2026-09-06T14:37:25.093382+00:00,01_yolo26_main,0,0,5.5,7.21,60.43,57.77,NVIDIA GeForce RTX 4090,50,206.9,82,4916.1,24564.0,
2026-09-06T14:37:35.105985+00:00,01_yolo26_main,0,0,5.2,6.97,60.43,57.77,NVIDIA GeForce RTX 4090,50,206.03,81,4916.1,24564.0,
2026-09-06T14:37:45.117015+00:00,01_yolo26_main,0,0,4.6,7.18,60.43,57.77,NVIDIA GeForce RTX 4090,50,140.64,80,4916.1,24564.0,
2026-09-06T14:37:55.128414+00:00,01_yolo26_main,0,0,4.5,7.08,60.43,57.77,NVIDIA GeForce RTX 4090,50,205.49,80,4916.1,24564.0,
2026-09-06T14:38:05.140038+00:00,01_yolo26_main,0,0,4.4,7.07,60.43,57.77,NVIDIA GeForce RTX 4090,49,207.06,80,4916.1,24564.0,
2026-09-06T14:38:15.151387+00:00,01_yolo26_main,0,0,4.7,6.98,60.43,57.77,NVIDIA GeForce RTX 4090,50,206.13,82,4916.1,24564.0,
2026-09-06T14:38:25.164081+00:00,01_yolo26_main,0,0,4.9,7.14,60.43,57.77,NVIDIA GeForce RTX 4090,47,97.49,84,4916.1,24564.0,
2026-09-06T14:38:35.175970+00:00,01_yolo26_main,0,0,5.0,6.88,60.43,57.77,NVIDIA GeForce RTX 4090,50,207.15,84,4916.1,24564.0,
2026-09-06T14:38:45.186994+00:00,01_yolo26_main,0,0,5.7,6.89,60.43,57.77,NVIDIA GeForce RTX 4090,49,196.67,77,4916.1,24564.0,
2026-09-06T14:38:55.197675+00:00,01_yolo26_main,0,0,4.0,7.0,60.43,57.77,NVIDIA GeForce RTX 4090,47,111.2,85,4916.1,24564.0,
