source_image,gt_regime,pred_regime,D_i,P_i,S_i,E_i
PET_PET 5000X 1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,MICROPLASTIC,,False,False,,False
PET_PET 5000X 1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,MICROPLASTIC,,False,False,,False
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,NANOPLASTIC,,False,False,,False
