epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.65778,2.46508,4.68751,0.00367,0.06536,0.15734,0.00725,0.00348,2.43594,4.43591,0.0034,3.31276e-05,3.31276e-05,0.0669056
2,12.9765,2.32864,3.34174,0.00319,0.06693,0.2511,0.02455,0.00945,2.40553,4.14432,0.00303,6.646e-05,6.646e-05,0.0336056
3,19.5243,2.23061,3.22572,0.00304,0.08048,0.3013,0.03564,0.01327,2.34043,4.06086,0.00289,9.97887e-05,9.97887e-05,0.00030555
4,25.9302,2.1641,3.18895,0.00298,0.06903,0.34397,0.04108,0.01503,2.33818,3.90853,0.00288,9.99875e-05,9.99875e-05,9.99875e-05
5,32.36,2.16474,2.97693,0.0031,0.06572,0.39838,0.05471,0.01907,2.32464,3.6989,0.0029,9.99778e-05,9.99778e-05,9.99778e-05
6,38.9483,2.17294,3.06081,0.00297,0.14615,0.43976,0.06269,0.01964,2.35948,3.68025,0.00293,9.99653e-05,9.99653e-05,9.99653e-05
7,45.3562,2.12442,2.82624,0.00295,0.11625,0.48343,0.06941,0.02138,2.32262,3.5154,0.00283,9.995e-05,9.995e-05,9.995e-05
8,51.8807,2.1449,2.86028,0.00294,0.10815,0.51513,0.0742,0.02248,2.30763,3.3656,0.00284,9.9932e-05,9.9932e-05,9.9932e-05
9,58.428,2.05299,2.65463,0.00276,0.07405,0.51721,0.07372,0.02138,2.35541,3.31488,0.0029,9.99112e-05,9.99112e-05,9.99112e-05
10,64.7911,2.07153,2.67483,0.00265,0.07345,0.53078,0.07436,0.01993,2.44065,3.20188,0.00302,9.98876e-05,9.98876e-05,9.98876e-05
11,71.1924,2.09485,2.44918,0.00276,0.07279,0.55528,0.08255,0.02269,2.44905,3.11964,0.00306,9.98613e-05,9.98613e-05,9.98613e-05
12,77.7657,2.07897,2.51216,0.00278,0.07524,0.59341,0.10651,0.03168,2.35795,2.95404,0.00296,9.98322e-05,9.98322e-05,9.98322e-05
13,84.2638,2.06917,2.51948,0.00285,0.07336,0.60983,0.10385,0.03021,2.39926,2.99032,0.00302,9.98003e-05,9.98003e-05,9.98003e-05
14,90.6641,2.04763,2.4001,0.00265,0.07257,0.61973,0.11026,0.02986,2.4904,2.89293,0.00316,9.97656e-05,9.97656e-05,9.97656e-05
15,97.1295,2.00782,2.3468,0.00284,0.06931,0.61145,0.10725,0.02761,2.56267,2.82684,0.00328,9.97282e-05,9.97282e-05,9.97282e-05
16,103.53,2.0002,2.36139,0.00284,0.07412,0.6255,0.11955,0.03072,2.51435,2.78279,0.00325,9.96881e-05,9.96881e-05,9.96881e-05
17,109.963,2.00313,2.29691,0.00262,0.11396,0.56098,0.13051,0.0344,2.48332,2.73081,0.00322,9.96452e-05,9.96452e-05,9.96452e-05
18,116.553,1.97612,2.27218,0.00266,0.1986,0.32119,0.14052,0.03788,2.47233,2.65093,0.00323,9.95995e-05,9.95995e-05,9.95995e-05
19,123.146,1.95313,2.29128,0.00268,0.20234,0.26572,0.14981,0.04089,2.52065,2.56689,0.00327,9.95511e-05,9.95511e-05,9.95511e-05
20,129.672,1.91052,2.16349,0.00255,0.18096,0.43968,0.14473,0.04079,2.46685,2.61696,0.00318,9.94999e-05,9.94999e-05,9.94999e-05
21,136.222,1.95389,2.20284,0.00243,0.18319,0.42515,0.14159,0.03657,2.58257,2.60015,0.00335,9.9446e-05,9.9446e-05,9.9446e-05
22,142.656,1.93761,2.13546,0.0026,0.23434,0.25821,0.1485,0.03735,2.67477,2.54611,0.0035,9.93893e-05,9.93893e-05,9.93893e-05
23,149.217,1.95973,2.15651,0.00248,0.234,0.30952,0.16245,0.04848,2.48845,2.51667,0.0032,9.93299e-05,9.93299e-05,9.93299e-05
24,155.741,1.92252,2.07263,0.00266,0.23557,0.25912,0.16868,0.04898,2.52771,2.44693,0.00328,9.92678e-05,9.92678e-05,9.92678e-05
25,162.333,1.91604,2.0392,0.00255,0.24005,0.31238,0.18406,0.05907,2.38046,2.42652,0.00306,9.92029e-05,9.92029e-05,9.92029e-05
26,168.904,1.94037,2.08937,0.00241,0.23322,0.30695,0.17831,0.05324,2.50637,2.28329,0.00328,9.91353e-05,9.91353e-05,9.91353e-05
27,175.37,1.93325,2.05124,0.00255,0.24114,0.29525,0.15615,0.04467,2.57398,2.30728,0.0034,9.9065e-05,9.9065e-05,9.9065e-05
28,181.814,1.91695,1.99841,0.00251,0.24785,0.27809,0.17024,0.05599,2.38525,2.31409,0.00306,9.8992e-05,9.8992e-05,9.8992e-05
29,188.351,1.82247,1.89379,0.00241,0.23783,0.28014,0.15987,0.04252,2.56977,2.38519,0.0034,9.89163e-05,9.89163e-05,9.89163e-05
30,194.793,1.90446,1.89099,0.00245,0.24551,0.31423,0.17592,0.05006,2.51863,2.27893,0.00332,9.88378e-05,9.88378e-05,9.88378e-05
31,201.347,1.8761,1.82341,0.00243,0.27404,0.33049,0.19209,0.0577,2.49906,2.16427,0.00322,9.87566e-05,9.87566e-05,9.87566e-05
32,207.812,1.89556,1.9186,0.00245,0.24503,0.32969,0.16842,0.04609,2.53992,2.2697,0.00332,9.86728e-05,9.86728e-05,9.86728e-05
33,214.291,1.89736,1.86306,0.00233,0.24806,0.33631,0.16836,0.04553,2.55456,2.23799,0.00339,9.85862e-05,9.85862e-05,9.85862e-05
34,220.858,1.90806,2.01607,0.00238,0.27743,0.35865,0.19816,0.05626,2.56434,2.08687,0.00334,9.8497e-05,9.8497e-05,9.8497e-05
35,227.264,1.81574,1.67137,0.0023,0.27596,0.3572,0.19377,0.05386,2.58614,2.12772,0.00342,9.84051e-05,9.84051e-05,9.84051e-05
36,233.749,1.90404,1.84061,0.0024,0.28215,0.34454,0.17341,0.05227,2.44762,2.34792,0.00311,9.83105e-05,9.83105e-05,9.83105e-05
37,240.355,1.90463,1.85685,0.00239,0.26208,0.37798,0.18268,0.0506,2.55772,2.26415,0.00332,9.82132e-05,9.82132e-05,9.82132e-05
38,246.827,1.8085,1.77963,0.00223,0.29311,0.37865,0.21821,0.06526,2.51331,2.09638,0.00331,9.81133e-05,9.81133e-05,9.81133e-05
39,253.399,1.84793,1.77157,0.00221,0.28337,0.35232,0.19407,0.05525,2.50349,2.30785,0.0033,9.80107e-05,9.80107e-05,9.80107e-05
40,259.956,1.85979,1.75687,0.00227,0.27251,0.36807,0.19919,0.06125,2.45637,2.26679,0.00317,9.79054e-05,9.79054e-05,9.79054e-05
41,266.411,1.80493,1.71881,0.00234,0.28453,0.37462,0.21471,0.06292,2.56278,2.15084,0.00333,9.77975e-05,9.77975e-05,9.77975e-05
42,272.862,1.80745,1.7335,0.00215,0.29537,0.36812,0.21633,0.06067,2.59694,2.1624,0.0034,9.7687e-05,9.7687e-05,9.7687e-05
43,279.388,1.78983,1.67413,0.00211,0.28649,0.38525,0.22297,0.0663,2.47407,2.14486,0.00324,9.75738e-05,9.75738e-05,9.75738e-05
44,286.184,1.83202,1.64383,0.0023,0.30854,0.38862,0.22907,0.06194,2.58502,2.09008,0.00347,9.7458e-05,9.7458e-05,9.7458e-05
45,293.778,1.77248,1.61618,0.00226,0.30853,0.3594,0.20934,0.05576,2.61223,2.22975,0.00351,9.73396e-05,9.73396e-05,9.73396e-05
46,300.258,1.80099,1.64503,0.00232,0.31261,0.34715,0.20503,0.05654,2.57759,2.2282,0.00337,9.72186e-05,9.72186e-05,9.72186e-05
47,308.624,1.80362,1.60596,0.00224,0.32267,0.39707,0.23733,0.06712,2.54382,2.11724,0.0033,9.7095e-05,9.7095e-05,9.7095e-05
48,317.451,1.76529,1.51231,0.00214,0.32103,0.43814,0.25942,0.0826,2.39942,2.02291,0.00308,9.69688e-05,9.69688e-05,9.69688e-05
49,326.28,1.81126,1.62412,0.00223,0.34227,0.41023,0.27159,0.0855,2.46711,1.98498,0.00319,9.68399e-05,9.68399e-05,9.68399e-05
50,334.56,1.79675,1.5382,0.00216,0.32804,0.40303,0.23319,0.07058,2.49494,2.15208,0.00321,9.67085e-05,9.67085e-05,9.67085e-05
51,341.134,1.76704,1.49546,0.00234,0.36689,0.3646,0.29972,0.08783,2.62824,2.09658,0.00349,9.65746e-05,9.65746e-05,9.65746e-05
52,348.935,1.75244,1.44542,0.00224,0.38691,0.32979,0.29753,0.08071,2.78644,2.0874,0.00385,9.6438e-05,9.6438e-05,9.6438e-05
