arquivo,polimero,ampliacao,escala_um_por_px,diametro_area_equiv_um,diametro_feret_max_um,diametro_usado_um,metodo_diametro,classificacao,aviso_calibracao
PE/PE 1000-1.png,PE,1000,0.1,2.8164,3.5057,2.8164,area_equivalente_poligono,microplastico,
PE/PE 1000-1.png,PE,1000,0.1,1.028,1.2166,1.028,area_equivalente_poligono,microplastico,
PE/PE 1000-1.png,PE,1000,0.1,1.1781,1.3,1.1781,area_equivalente_poligono,microplastico,
PE/PE 1000-1.png,PE,1000,0.1,1.0187,1.118,1.0187,area_equivalente_poligono,microplastico,
PE/PE 1000-1.png,PE,1000,0.1,0.9508,1.1402,0.9508,area_equivalente_poligono,nanoplastico,
PE/PE 1000-1.png,PE,1000,0.1,1.0495,1.3038,1.0495,area_equivalente_poligono,microplastico,
PE/PE 1000-1.png,PE,1000,0.1,0.6129,0.8062,0.6129,area_equivalente_poligono,nanoplastico,
PE/PE 1000-1.png,PE,1000,0.1,1.0585,1.3416,1.0585,area_equivalente_poligono,microplastico,
PE/PE 1000X 2.png,PE,1000,0.1,3.5324,5.0249,3.5324,area_equivalente_poligono,microplastico,
PE/PE 1000X 2.png,PE,1000,0.1,1.8142,2.2204,1.8142,area_equivalente_poligono,microplastico,
PE/PE 1000X 2.png,PE,1000,0.1,1.0372,1.253,1.0372,area_equivalente_poligono,microplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.6482,0.9434,0.6482,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,3.2282,4.2154,3.2282,area_equivalente_poligono,microplastico,
PE/PE 1000X 2.png,PE,1000,0.1,1.7298,2.1954,1.7298,area_equivalente_poligono,microplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.8667,1.1402,0.8667,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,2.889,3.4828,2.889,area_equivalente_poligono,microplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.9739,1.2207,0.9739,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.9608,1.118,0.9608,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.6383,0.7616,0.6383,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,1.0705,1.6279,1.0705,area_equivalente_poligono,microplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.8019,0.9487,0.8019,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.7695,0.9434,0.7695,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.6723,0.8246,0.6723,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.4787,0.5385,0.4787,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.8813,1.044,0.8813,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.749,1.0386,0.749,area_equivalente_poligono,nanoplastico,
PE/PE 1000X 2.png,PE,1000,0.1,0.4675,0.572,0.4675,area_equivalente_poligono,nanoplastico,
